id,lang,username,created_at,public_metrics
1572128967309787136,ar,fmh37015095,2022-09-20 07:42:09+00:00,"{'retweet_count': 233, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128962503135233,ja,fusou5924,2022-09-20 07:42:08+00:00,"{'retweet_count': 1469, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128962335375361,en,lipalitzy,2022-09-20 07:42:08+00:00,"{'retweet_count': 17, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128962134048769,en,ALTHEPROPHET,2022-09-20 07:42:07+00:00,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 0, 'quote_count': 0}"
1572128961794277379,ja,GhSM7UA4lODdf2d,2022-09-20 07:42:07+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128961777500160,ar,hwd17924898,2022-09-20 07:42:07+00:00,"{'retweet_count': 22749, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128960539934720,fr,IsraelWingi,2022-09-20 07:42:07+00:00,"{'retweet_count': 553, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128960280154116,es,Anaiznajarr,2022-09-20 07:42:07+00:00,"{'retweet_count': 3421, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128958090469376,qht,adem0ozer,2022-09-20 07:42:07+00:00,"{'retweet_count': 16, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128958036033536,qht,Perran52463394,2022-09-20 07:42:06+00:00,"{'retweet_count': 16, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128957616758784,ja,shinkaitktbwy,2022-09-20 07:42:06+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128956635090944,ar,fufy_abdoo,2022-09-20 07:42:06+00:00,"{'retweet_count': 14065, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128955951620098,en,UnchartedLFC,2022-09-20 07:42:06+00:00,"{'retweet_count': 65, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128951417569280,ar,1jamila111,2022-09-20 07:42:05+00:00,"{'retweet_count': 14065, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128949844709376,en,PiunikaWeb,2022-09-20 07:42:05+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128949777453056,es,rfog42,2022-09-20 07:42:05+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128949261541376,ar,gdh88977107,2022-09-20 07:42:04+00:00,"{'retweet_count': 22749, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128949043429377,fr,RADIO_CLN,2022-09-20 07:42:04+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128948993273856,ja,naoshy,2022-09-20 07:42:04+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128948414210049,fr,LDelassault,2022-09-20 07:42:04+00:00,"{'retweet_count': 158, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128947051302915,ja,L0PzwZuD0hDqgDW,2022-09-20 07:42:04+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128945298087941,ja,yoa82912,2022-09-20 07:42:03+00:00,"{'retweet_count': 247, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128945184571392,en,MbalenhleZwane,2022-09-20 07:42:03+00:00,"{'retweet_count': 1511, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128945008427008,es,LatinMixMasters,2022-09-20 07:42:03+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128944379555841,es,BlazedRTs,2022-09-20 07:42:03+00:00,"{'retweet_count': 4, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128942253047809,in,chacha_kudzanai,2022-09-20 07:42:03+00:00,"{'retweet_count': 25, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128941837787136,ar,gham1281,2022-09-20 07:42:03+00:00,"{'retweet_count': 450, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128941737144320,ar,n76734232,2022-09-20 07:42:03+00:00,"{'retweet_count': 418, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128939828547584,ar,hwd17924898,2022-09-20 07:42:02+00:00,"{'retweet_count': 20312, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128939795165184,ja,shibarakusensei,2022-09-20 07:42:02+00:00,"{'retweet_count': 1094, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128938855657472,ja,ymdo181,2022-09-20 07:42:02+00:00,"{'retweet_count': 1094, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128938641719297,ar,malok911,2022-09-20 07:42:02+00:00,"{'retweet_count': 418, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128938020700160,en,1Queenrefilwe,2022-09-20 07:42:02+00:00,"{'retweet_count': 1511, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128936863354881,ar,saleh5492670,2022-09-20 07:42:01+00:00,"{'retweet_count': 6097, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128935651180545,ja,Animenzosushi,2022-09-20 07:42:01+00:00,"{'retweet_count': 1094, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128933348360195,en,Splendoura1,2022-09-20 07:42:01+00:00,"{'retweet_count': 71, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128932690006019,in,hazimhalimmmm,2022-09-20 07:42:00+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128932396412930,en,simplyyhamza,2022-09-20 07:42:00+00:00,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128930324414464,ja,angelmiyukorin,2022-09-20 07:42:00+00:00,"{'retweet_count': 1094, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
1572128929686913024,th,lay_metal,2022-09-20 07:42:00+00:00,"{'retweet_count': 277, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
